Location,Time,Value
Argentina,1990,15719
Argentina,1991,-8537
Argentina,1992,-13201
Argentina,1993,-16455
Argentina,1994,-18723
Argentina,1995,-19815
Argentina,1996,-20486
Argentina,1997,-20651
Argentina,1998,-20326
Argentina,1999,-20220
Argentina,2000,-22775
Argentina,2001,-23687
Argentina,2002,-22674
Argentina,2003,-22450
Argentina,2004,-22381
Argentina,2005,-22068
Argentina,2006,-20109
Argentina,2007,-18099
Argentina,2008,-12517
Argentina,2009,-7882
Argentina,2010,-5003
Argentina,2011,-1117
Argentina,2012,2978
Argentina,2013,5275
Argentina,2014,5794
Argentina,2015,5464
Argentina,2016,5215
Argentina,2017,4931
Argentina,2018,5742
Argentina,2019,5397
Argentina,2020,292
Argentina,2021,314
Argentina,2022,5589
Argentina,2023,4133
Argentina,2024,3454
Argentina,2025,2859
