Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1990,4315.33403111588,682.67681029538,2581.14187449078,2487.76829657299,1474.8455285342,1455.00748510871,528.851095342994,1440.15829610029,1199.66666756615,941.591736102188,2995.36105663465,2250.08459665588
1991,5709.24784079504,733.935487602519,2257.6092968885,2798.34262413795,1499.71104164399,1587.36049996672,466.039938988882,1685.26890082621,1527.38879472866,1079.72521342705,3589.01541942634,2451.5523114567
1992,6789.99611136495,759.57113496365,2127.31642731638,3351.84108855522,1729.66397332384,1655.44613192632,498.156636569954,1682.67444777611,1567.40910765128,968.895253466926,4101.71054155291,2632.53969814106
1993,6931.85596375876,756.637016048451,2348.88247685352,3540.91377313015,1930.05976548029,1697.88884141445,603.084316652805,1661.70955306218,1487.67404314175,1022.44583519896,4753.00924682647,2907.30334439434
1994,7437.56242327594,774.035669644318,3298.71250747787,4012.10159912285,2325.97557339326,1996.85894789444,715.611525201717,1760.28807083292,1879.36657757919,1433.54255652781,5507.56481300056,2824.69144366441
1995,7357.6162773788,852.754034861444,4756.74840785403,5081.4682771561,2583.34991436018,2108.00698245316,819.668541584905,1978.71514099575,2189.53431515311,1609.82504373206,6050.48632253644,2688.98325145295
1996,7663.21271287469,922.113259069714,5179.13052002464,5333.50438729711,2664.45625558215,2135.8479374308,927.523847211669,2088.17109102236,2226.91682429265,1962.88495820295,6398.43575184095,3486.98350635919
1997,8146.78710021431,970.351843368594,5299.39630404412,5741.95842989596,2873.20018821653,2340.76600026857,982.804753805587,2078.50841313824,2300.67200774461,2067.59814938391,7436.29342620682,3112.825848106
1998,8218.99212764682,1022.14506519545,5105.89099544117,5419.82417297191,2605.99938059023,2284.01572847769,939.685488169724,1889.88455618586,2156.39377651613,2428.58641994202,7836.89183322307,3710.82688355096
1999,7705.54288252851,979.344494964572,3493.57162513699,4933.55581516755,2243.64204956242,1575.30234730971,908.790631391797,1766.30657288259,1916.53397367908,1898.1801816053,7370.56995453931,3869.98258848894
2000,7637.01489203628,975.777060358751,3766.54811466032,5052.99245766325,2555.00751039968,1382.23421759909,931.796651718955,1736.11729210765,1945.41338451698,1988.22172925433,6987.70098766257,4070.90619189484
2001,7141.47507662826,930.168227214313,3176.28935747524,4563.5952986689,2472.99084035833,1791.30359685037,931.574723847673,1637.68615122932,1929.57273038846,1714.64846637242,6382.76104740859,4776.2816763938
2002,2569.69963519124,888.221328974352,2855.94018885769,4430.84741157984,2428.92969771584,2059.1585535974,950.866932470993,1367.76506935997,2007.37019626753,2202.340682196,4149.76140312687,4920.39313600453
2003,3320.47775133903,893.013760211149,3090.6070097455,4773.40177520754,2311.94218760291,2315.62215223014,973.742598054188,1443.99885236205,2129.44114197634,2516.10404020956,3671.12329256883,3652.09896501865
2004,4242.02099089422,953.191893246277,3663.823188064,6120.59152055344,2818.57195413044,2586.20914663347,1033.31030902188,1786.21533938543,2397.25147277714,2887.7721728844,4168.66065438387,3229.50557082079
2005,5067.65342293276,1020.12326200737,4827.78173074714,7480.32330998636,3456.06610874512,2909.02606014388,1084.06541388904,1970.87169852378,2706.66947297608,3453.42865937765,5284.25677987129,4269.08970872392
2006,5869.38028970204,1202.71150446327,5934.14470924968,9318.65655296121,3789.85361217027,3243.67010359339,3135.60553528326,2439.43124694576,3129.55996496982,5002.65798695759,6001.33294783172,5432.4854184654
2007,7185.25155147027,1354.54905949929,7409.69130673473,10346.4138184533,4769.926147194,3478.92488770671,3608.28685240188,3211.93621659546,3581.0893081917,5530.17615638309,7222.05403645877,6739.38065342219
2008,8944.1102657357,1692.67248455876,8908.33176538648,10683.2188772511,5541.83629665898,4194.75750661981,4008.9628671603,4384.9546943793,4197.58444634142,6576.08546307249,9423.96562595893,8331.62096991844
2009,8150.23527028221,1731.18172112209,8678.6592244676,10098.8017167286,5250.97292433518,4053.36331139298,4209.13230624565,3941.84815479271,4181.18755462253,7129.5768626291,9881.39573127081,11262.4514256759
2010,10260.1313108254,1929.78373077158,11403.2821278747,12632.8704724192,6398.2958447102,4520.30959039763,4581.76179693492,4750.96273669322,5072.11494019615,7943.60482816915,12641.0576849008,11596.6021921731
2011,12704.2831819684,2315.52121930607,13396.6243562986,14487.3927832032,7400.9940695669,5153.6916424375,4947.22170589917,5805.40154543044,5861.35793645245,7949.88867218383,15132.2675725587,13646.3046622664
2012,12949.717486654,2575.59857098084,12521.7213519966,15241.9069981119,8108.59838244229,5634.08393191094,5444.39751913913,5642.1699167298,6519.37852981527,8851.24050668908,16259.5940814256,10843.9229703167
2013,12963.675773326,2870.02377000756,12458.8912138813,15683.5486369155,8279.10255642981,6109.29031510341,5556.91231156932,6435.68342733182,6746.80025696601,9043.19281529222,18335.2594772322,12901.4171582274
2014,12233.1444119186,3041.43503162408,12274.9939689363,14529.6767206336,8187.20824890084,6405.79979300441,5472.68820452237,6652.25478942291,6667.13410360861,9108.18905406764,18322.4276767157,12403.1466957582
2015,13679.6264980954,2996.01289811344,8936.19661712113,13433.9202987032,6248.51490534512,5976.1596805651,5640.41560569466,5879.33792308671,6231.71150338894,8813.61705392067,17125.9016800298,15943.6127197163
2016,12699.9623137756,3035.87347732132,8836.28652735657,13649.8520452803,5959.84250367574,5917.63771271481,5870.87823759835,5775.1596339946,6217.03599995447,5644.2061057532,17009.7584207276,NaN
2017,14532.5009308511,3306.30301224425,10080.5092819305,14879.9086227187,6479.53231292429,6233.32244797718,6178.6650437298,6152.26711537703,6736.16693725487,6049.52128553675,19184.6502617082,NaN
2018,11752.7998922979,3500.72642189887,9300.66164923219,15659.4808675628,6816.96818309544,6303.91886658338,6048.38697180418,6258.44991640954,6978.49121548627,6665.74180472239,19249.9404677501,NaN
2019,9955.97478680428,3503.89601123129,9029.83326681073,14495.716721687,6472.54544924705,6205.05765246766,6405.82443444562,5821.18199548637,7037.00803692604,6629.66775248603,18315.7316980028,NaN
