Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1990,8.122559492,5.993602746,3.685051873,8.384781038,6.346991442,6.75,5.271297611,5.744568091,7.775329917,NaN,7.154903077,5.340000153
1991,8.18999958,6.100842014,3.830994521,8.464237816,6.397589851,6.807058811,5.341373946,5.846381705,7.833122587,NaN,7.1930358,5.588181929
1992,8.257999611,6.210000038,3.976937169,8.543694594,6.448591632,6.864117622,5.41145028,5.949999809,7.89134482,NaN,7.231168523,5.836363706
1993,8.325999641,6.321111149,4.122879818,8.623151372,6.5,6.921176434,5.481526615,6.055454384,7.949999809,NaN,7.269301247,6.084545482
1994,8.393999672,6.43222226,4.268822466,8.70260815,6.551818197,6.978235245,5.55160295,6.160908959,8.00909077,NaN,7.30743397,6.332727259
1995,8.461999702,6.543333371,4.414765115,8.782064928,6.603636395,7.035294056,5.621679284,6.266363534,8.068181731,NaN,7.345566693,6.580909035
1996,8.529999733,6.654444483,4.586247727,8.855248802,6.655454592,7.092352867,5.699541878,6.371818109,8.127272693,NaN,7.46999979,6.829090812
1997,8.597999763,6.765555594,4.757730339,8.928432676,6.70727279,7.149411678,5.777404472,6.477272684,8.186363654,NaN,7.681428364,7.077272589
1998,8.665999794,6.876666705,4.92921295,9.001616551,6.759090987,7.20647049,5.855267066,6.582727259,8.245454615,NaN,7.892856938,7.325454365
1999,8.733999825,6.987777816,5.100695562,9.074800425,6.810909185,7.263529301,5.93312966,6.688181834,8.304545576,NaN,8.104285513,7.573636142
2000,8.801999855,7.098888927,5.272178174,9.1479843,6.862727382,7.320588112,6.010992254,6.793636409,8.363636537,NaN,8.315714087,7.821817918
2001,8.869999886,7.210000038,5.449133635,9.285988177,6.914545579,7.377646923,6.06549607,6.899090984,8.422727498,NaN,8.527142661,8.069999695
2002,9.394999981,7.14800005,5.626089097,9.423992054,6.966363777,7.434705734,6.119999886,7.004545559,8.481818459,NaN,8.738571235,7.957999802
2003,9.920000076,7.086000061,5.803044558,9.561995932,7.018181974,7.491764545,6.263449276,7.110000134,8.54090942,NaN,8.949999809,7.845999908
2004,10.00999991,7.024000072,5.980000019,9.699999809,7.070000172,7.548823357,6.406898667,7.230000019,8.600000381,7.739999771,8.633333206,7.734000015
2005,10.09999975,6.962000084,6.150000095,9.736666679,7.28000021,7.605882168,6.550348057,7.349999905,7.920000076,7.780431952,8.316666603,7.622000122
2006,10.18999958,6.900000095,6.320000172,9.773333549,6.800000191,7.662940979,6.693797448,7.070000172,7.929999828,7.820864132,8,7.510000229
2007,10.29999971,7.049999952,6.5,9.81000042,7.190000057,7.71999979,6.837246839,7.150000095,8.18999958,7.861296313,8.184999943,7.989999771
2008,10.40999985,7.199999809,6.670000076,10.10999966,7.320000172,7.730000019,6.980696229,7.389999866,8.18999958,7.901728494,8.369999886,8.140000343
2009,10.53999996,7.480000019,6.769999981,9.980000019,7.25,7.739999771,7.12414562,7.03000021,8.220000267,7.942160675,8.369999886,8.25
2010,10.60000038,7.710000038,6.880000114,9.850000381,7.389999866,7.849999905,7.267595011,7.28000021,8.869999886,7.982592855,8.329999924,8.684999943
2011,10.69999981,7.940000057,7.010000229,9.539999962,7.519999981,7.909999847,7.411044401,7.53000021,8.890000343,8.023025036,8.399999619,9.119999886
2012,10.78999996,8.170000076,7.21999979,9.775000095,7.630000114,8.100000381,7.554493792,7.78000021,9.079999924,8.063457217,8.479999542,9.25
2013,10.89000034,8.423333486,7.289999962,10.01000023,7.829999924,8.289999962,7.697943183,8.289999962,9.140000343,8.103889397,8.520000458,9.380000114
2014,10.90999985,8.676666896,7.380000114,10.13500023,7.989999771,8.359999657,7.841392573,8.25,9.149999619,8.144321578,8.609999657,9.510000229
2015,10.92000008,8.930000305,7.510000229,10.26000023,8.050000191,8.699999809,7.984841964,8.520000458,9.090000153,8.184753759,8.670000076,9.640000343
2016,10.93000031,9.162500143,7.730000019,10.42500019,8.220000267,8.68999958,8.128291354,8.350000381,9.313333511,8.225185939,8.699999809,10.31000042
2017,11.01500034,9.394999981,7.849999905,10.59000015,8.360000134,8.770000458,8.271740745,8.470000267,9.53666687,8.26561812,8.829999924,10.13614271
2018,11.10000038,9.627499819,7.980000019,10.76107344,8.5,8.78666687,8.415190136,8.590000153,9.760000229,8.306050301,8.909999847,9.962285008
2019,11.12000036,9.859999657,8.125777988,10.93491029,8.640000343,8.803333282,8.558639526,8.81000042,9.889816364,8.347083681,8.979999542,9.820335191
