Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,5.44,2.934,6.894,5.23,10.12,4.385,12.055,5.1,4.934,17.085,8.95,NaN
1993,6.36,3.031,7.086,4.35,9.44,4.346,11.9,4.98,5.071,17.28,8.96,9.45
1994,10.1,3.05,6.03,4.49,7.8,4.415,11.71,5.06,4.803,15.64,8.35,7.69
1995,11.76,3.08,6.578,5.87,8.25,4.419,11.622,4.41,4.505,12.7,9.04,6.6
1996,18.8,2.661,7.092,4.7,8.72,4.417,11.643,3.4,4.717,8.39,10.02,8.56
1997,17.11,2.373,8.035,7.414,11.81,4.43,11.611,8.15,4.931,10.88,11.93,10.24
1998,14.82,2.08,9.003,7.136,12.14,4.431,11.624,5.36,4.768,10.56,11.44,11.77
1999,12.65,2.121,10.15,7.307,15,4.395,11.731,4.417,5.096,10.63,9.362,11.16
2000,14.05,2.303,11.125,11.158,20.06,4.658,11.802,5.343,5.01,13.6,10.466,11.15
2001,15,2.447,10.889,10.491,20.52,4.8,11.93,7.61,4.958,12.983,12.627,14.53
2002,17.32,2.636,10.649,10.39,15.04,4.252,11.806,6.206,5.063,12.148,15.052,13.99
2003,19.59,2.613,10.641,10.168,14.481,4.836,11.81,9.393,4.84,11.243,16.648,13.04
2004,15.36,2.664,11.168,9.765,13.221,5.662,11.529,6.814,4.15,10.359,16.661,16.17
2005,13.522,2.622,10.072,10.162,13.717,5.002,11.28,6.513,4.71,9.49,12.98,16.78
2006,11.506,2.603,10.551,9.34,11.062,3.779,11.08,4.825,4.87,9.263,12.009,15.07
2007,10.078,2.577,9.692,9.024,11.091,3.55,10.7,5.277,4.17,9.096,10.844,10.663
2008,8.47,2.616,9.28,8.427,11.204,3.142,10.846,4.713,4.08,9.004,9.403,8.606
2009,7.837,2.603,8.268,9.285,11.273,3.917,11.027,4.415,4.03,8.831,8.025,7.279
2010,8.645,2.973,9.419,11.313,12.066,4.608,11.314,5.46,3.96,8.72,7.74,6.245
2011,7.714,2.608,8.422,8.278,11.153,4.088,11.636,4.569,3.6,7.15,7.158,6.097
2012,7.18,2.255,7.578,7.277,10.288,3.458,11.819,4.67,3.477,7.54,6.307,7.112
2013,7.217,2.066,7.251,6.562,9.959,3.235,12.038,4.085,3.238,8.1,6.451,6.902
2014,7.1,2.437,7.071,6.074,9.246,3.083,12.303,4.385,3.575,6.6,6.444,6.601
2015,7.268,2.021,6.755,6.483,8.799,3.48,12.639,5.034,3.208,6.94,6.547,7.54
2016,7.579,3.111,8.538,6.313,8.572,3.616,13.004,4.556,3.272,7.22,7.488,6.821
2017,8.085,3.498,11.58,6.673,8.922,4.597,13.257,5.255,3.741,7.917,7.841,6.137
2018,8.347,3.655,12.792,7.257,9.086,3.836,13.462,6.138,3.691,7.888,7.89,5.319
2019,9.22,3.519,12.329,7.623,9.36,3.53,13.627,6.217,3.492,7.693,8.336,5.045
