countryIsoCode;country;indexCode;index;dimension;indicatorCode;indicator;year;value;note
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1990;8.122559492;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1991;8.18999958;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1992;8.257999611;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1993;8.325999641;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1994;8.393999672;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1995;8.461999702;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1996;8.529999733;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1997;8.597999763;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1998;8.665999794;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1999;8.733999825;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2000;8.801999855;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2001;8.869999886;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2002;9.394999981;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2003;9.920000076;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2004;10.00999991;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2005;10.09999975;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2006;10.18999958;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2007;10.29999971;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2008;10.40999985;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2009;10.53999996;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2010;10.60000038;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2011;10.69999981;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2012;10.78999996;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2013;10.89000034;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2014;10.90999985;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2015;10.92000008;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2016;10.93000031;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2017;11.01500034;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2018;11.10000038;
ARG;Argentina;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2019;11.12000036;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1990;5.993602746;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1991;6.100842014;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1992;6.210000038;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1993;6.321111149;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1994;6.43222226;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1995;6.543333371;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1996;6.654444483;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1997;6.765555594;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1998;6.876666705;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);1999;6.987777816;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2000;7.098888927;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2001;7.210000038;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2002;7.14800005;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2003;7.086000061;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2004;7.024000072;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2005;6.962000084;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2006;6.900000095;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2007;7.049999952;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2008;7.199999809;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2009;7.480000019;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2010;7.710000038;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2011;7.940000057;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2012;8.170000076;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2013;8.423333486;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2014;8.676666896;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2015;8.930000305;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2016;9.162500143;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2017;9.394999981;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2018;9.627499819;
BOL;Bolivia (Plurinational State of);HDI;Human Development Index;;mys;Mean Years of Schooling (years);2019;9.859999657;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1990;3.685051873;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1991;3.830994521;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1992;3.976937169;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1993;4.122879818;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1994;4.268822466;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1995;4.414765115;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1996;4.586247727;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1997;4.757730339;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1998;4.92921295;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);1999;5.100695562;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2000;5.272178174;
BRA;Brazil;HDI;Human Development Index;;mys;Mean Years of Schooling (years);2001;5.449133635;
