Country,Count,MAE,MBE,MedianAE,MAPE
ARGENTINA,5,2001.2000,-2001.2000,2128.0000,37.62
BOLIVIA,5,59.0000,59.0000,48.0000,0.60
BRAZIL,5,57145.6000,-45245.2000,40964.0000,34.38
CHILE,5,70317.4000,65043.0000,50816.0000,38.44
COLOMBIA,5,353055.4000,353055.4000,478013.0000,118.93
ECUADOR,5,23221.0000,23221.0000,16278.0000,40.53
GUYANA,5,10209.2000,4252.4000,14.0000,38.47
PARAGUAY,5,327.2000,-327.2000,370.0000,1.98
PERU,5,81066.8000,41266.0000,57461.0000,122.23
SURINAME,5,246.4000,238.4000,35.0000,118.59
URUGUAY,5,601.8000,-588.2000,356.0000,20.34
VENEZUELA,5,453341.4000,-453341.4000,217391.0000,56.91
