Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1990,15719,-21917,-30555,-1274,-7590,-21164,-20930,-4685,-29437,-6471,-7499,32
1991,-8537,-23982,-66600,-2207,-48458,-32064,-14949,-5420,-61645,-6174,-7714,-69
1992,-13201,-25005,14394,0,-15147,-29958,-12844,-6035,-41702,-5662,-7850,-236
1993,-16455,-26856,-69070,1164,-30103,-41867,-13137,-6431,-51775,-7291,-7922,-381
1994,-18723,-27621,-68961,1930,-16023,-44399,-13426,-6999,-39299,-2713,-7955,-477
1995,-19815,-28204,-69963,2454,-33097,-45201,-13614,-7653,-46499,1275,-8339,-559
1996,-20486,-28685,-71943,2942,-28251,-46082,-13871,-8273,-38749,1165,-7397,-622
1997,-20651,-28566,-72392,3504,-23600,-47287,-14019,-8704,-32515,1164,-6938,-708
1998,-20326,-28378,21666,10984,-8186,-42550,-14155,-9276,-24388,1241,-7048,-816
1999,-20220,-28074,-23497,8226,-22698,-43813,-14115,-11362,-55325,1380,-7441,-1010
2000,-22775,-26940,-45800,7067,-27878,-40859,-14090,-15884,-92353,1516,-11076,-1376
2001,-23687,-24405,-51600,6346,-28582,-35275,-14050,-27676,-129481,1641,-14620,-1999
2002,-22674,-22188,-42008,7824,-24387,-28090,-13116,-36918,-157158,2076,-16957,-2856
2003,-22450,-19621,-55350,9225,-33114,-22641,-11551,-39941,-181276,2345,-17105,-3944
2004,-22381,-17385,-76661,11495,-25949,-20940,-11938,-40907,-194171,-1676,-15668,-5729
2005,-22068,-15594,-88868,14289,-41465,-16855,-12290,-42173,-221652,-1534,-16086,-10798
2006,-20109,-14107,-90634,17285,-39303,-12679,-12575,-44568,-231851,-1403,-13161,-18407
2007,-18099,-13669,-107481,20170,-49634,-9644,-12906,-45914,-236745,-1312,-10750,-27240
2008,-12517,-13418,-141056,22488,-63313,-8799,-13143,-44679,-235307,-1255,-9458,-36060
2009,-7882,-13055,-220207,24324,-46901,-8491,-13425,-40112,-219314,-1204,-8510,-43636
2010,-5003,-12590,-261539,26048,-34220,-8330,-13655,-26169,-181302,-1138,-7696,-50286
2011,-1117,-12106,-235860,28086,-46385,-8167,-13920,-20427,-148339,-1060,-6982,-52781
2012,2978,-11689,-179707,30870,-56070,-7883,-7152,-17763,-118863,-1011,-6317,-54384
2013,5275,-11369,-157228,36529,-64789,-6182,-6907,-17232,-95214,-968,-5647,-55131
2014,5794,-10971,-145732,52702,-67522,2273,-6710,-16989,-50383,-959,-4919,-57818
2015,5464,-10525,-173611,55689,-41123,14724,-6527,-16834,2421,-967,-4157,-62437
2016,5215,-10071,-92989,135864,104373,35461,-6309,-16737,96740,-906,-3506,-77417
2017,4931,-9669,-156296,220621,431072,53707,-6107,-16630,114382,-935,-3091,-283270
2018,5742,-9344,-230334,237807,495524,95482,30213,-16472,339067,-851,-2963,-817376
2019,5397,-8981,-129216,181339,396826,54921,-20603,-16263,74270,191,-2899,-1355602
