Row,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Argentina",0,0,0,0,0,0,0,0,0,0,0,8.31631763979875,9.38748649102565,7.72167974407433,6.02330247756233,5.6047423259877,5.32783270151026,5.34525993519266,5.86530605419315,6.46679948327286,5.7739778082346,6.01715853502966,6.28057846262278,7.2142387373598,7.50277667235654,6.52528743235621,5.97945616037571,5.23155985787317,5.33872203870925,5.13191495105041
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92977342561603,5.74238712195448,6.58463782839173,4.98767505522938,4.25827764835632
"Brazil",19.6463430965049,18.5523881422863,16.8315196406125,17.865892961495,18.7432334815665,21.0220886836161,23.6865994083929,24.3049302659348,24.7990574348239,25.0021056965213,26.0748466246634,27.2006084949971,27.848196026942,28.2710884352715,26.4918363852054,25.7693915381983,26.3403064568888,25.3144591379199,26.3359303856077,26.7914479705158,26.9945684769237,26.7470983503833,28.6413621085766,28.6404106359245,29.8537931807395,28.8503019791216,30.1193623667804,31.1611756216413,27.1606152370358,21.2445602088385
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,3.20129769251024,0,3.52319921168418,3.57376612166027,3.6949106294991,3.4918963063576,3.70376238471268,3.14874215608169,3.66532251337043,2.47729352143792,3.14355060592079,2.4518317226161,2.32163505387454,3.39405749254204,4.19745439747334,4.36665251518391,4.81306553520039
"Colombia",74.9998416310372,85.8773343009539,83.4819991124854,82.5777689589525,77.0879503653693,62.3410428739553,64.0379653259786,62.4980646140821,61.0946739886429,63.3339923743845,67.8921586309151,70.1095871523678,70.3960948977152,57.4608630160922,48.6481875848116,42.9894132012747,40.9429758324124,39.7776140409658,36.8840024517578,35.7272410703666,34.5241750628259,35.6322084408409,35.9613009153726,33.4159707994424,28.654305199833,27.2152782480106,26.1438669043183,25.5510587151196,23.8207594532571,23.3990612924966
"Ecuador",8.51659203032212,10.7733041261241,8.55433754089328,8.30175052181792,10.0156548466405,11.8383919002488,12.3838470232859,10.9429833738619,13.409254126692,13.4875122235591,14.4453488439446,12.8420209514706,14.5070142098716,0,0,0,0,15.8631866106051,17.886543943386,17.705436773059,17.4043449177688,15.2875203821371,12.3425125579607,10.9127986726241,8.16956550602398,6.45509329915208,5.81031174018927,5.78775543057783,5.8300670929869,6.84543557226847
"Guyana",12.0017042420024,25.673220023507,14.0016615305016,15.5385811681693,14.2890880981819,14.3725997593578,11.5709390605975,11.4136605774132,14.7986047403991,11.9034694035054,9.93682272708255,10.4646637736232,18.7258070429986,27.3882307923651,17.1821756569231,18.6617672956471,20.158992524703,15.1943455894448,20.9380650710006,15.5565660675394,18.6851899182723,17.4227001700724,18.6255047478288,20.6660742392051,19.7552732658118,19.6367594865976,18.5973900789472,14.9646346644701,14.0230217590554,16.8386645453251
"Paraguay",0,0,0,0,0,0,0,0,0,0,19.5064839944888,25.3291976446545,26.0770664744718,24.1249473264161,22.4380260884275,16.2809142348236,13.4782946324326,14.0842878975945,14.8390325698951,14.4765607993953,12.9139714270104,11.2990930113132,11.0055811353826,10.0962064841382,9.52253702792393,10.0176925113933,10.7054970567084,8.53492626715061,7.73254240471022,8.50337786708883
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5180019181967,6.65981599009637,6.75097413739705,6.89338555748064,7.37746900609372,7.88881315592262,7.9394377010568,7.68710269227761,7.3499267457301
"Suriname",0,0,0,0,0,0,0,0,0,0,14.2664425995976,16.236452068041,11.4791718482373,11.8480019825657,8.95075721460219,13.2867974485498,11.8095912929026,8.47432092441659,8.00378970135627,0,0,0,0,5.09648167024006,5.56160959933817,5.84567085090617,6.97567191883721,6.06353574875403,6.33848335105607,4.95239101438174
"Uruguay",6.63573640406867,6.21326188722705,5.79672940246071,0,0,5.98851208989666,6.39361461910898,7.5387524450532,7.53253925757256,6.63795240065697,6.55194336304211,6.65801023531638,7.04511757340532,6.00392662896892,6.09171534327958,5.78250888452056,6.14073873999033,5.88743616570098,6.69255362560008,6.82760685431307,6.17734091087152,5.98168012770136,8.00503447711385,7.77201220684194,7.98490138572303,8.69948102993542,7.90108434244779,8.35193212210643,12.4022914485464,11.5977676357818
"Venezuela, RB",12.4779278368246,12.3221512683443,15.7163186203055,20.1933513390716,21.7857723486674,20.1903047742501,21.8911625760581,18.2649898123507,19.2785692454324,24.8227901468482,32.7072022874003,31.8655925319861,37.8091067461912,43.8038461298566,36.8970797360357,37.1988094364987,45.0216395516922,47.5815663456695,52.0038429160992,49.1766420057909,45.3960162080437,48.3052863947894,54.3821288251794,0,62.9006092038036,51.2004132142202,56.5792047678519,47.9792075487112,0,41.0324133949647
