Country,Year,PredictedNetMigration
ARGENTINA,2006,-35400.6714317783
ARGENTINA,2008,28364.3123413738
ARGENTINA,2009,6976.14854828585
ARGENTINA,2010,53130.0230106386
ARGENTINA,2011,105791.86081989
ARGENTINA,2012,108972.148197755
ARGENTINA,2013,106651.754050723
ARGENTINA,2014,89596.5355364583
ARGENTINA,2015,122059.018798987
ARGENTINA,2016,99630.8641872784
ARGENTINA,2018,73720.1575974021
BOLIVIA,2006,-54251.8064591956
BOLIVIA,2007,-76387.5316768454
BOLIVIA,2008,-51075.1729140548
BOLIVIA,2009,-57585.2396646084
BOLIVIA,2011,-70199.3932046273
BOLIVIA,2012,-56670.3073436334
BOLIVIA,2013,-72416.6197461178
BOLIVIA,2014,-53775.8689165802
BOLIVIA,2015,-67193.6050981413
BOLIVIA,2016,-61019.3965381199
BOLIVIA,2017,-57800.834552317
BOLIVIA,2018,-56565.5007846731
BOLIVIA,2019,-80219.4462053473
CHILE,2006,49755.5824307488
CHILE,2007,75907.9926668271
CHILE,2008,75619.5442344019
CHILE,2009,56861.3303467789
CHILE,2010,126583.733019366
CHILE,2011,176713.780558324
CHILE,2013,191386.275768757
CHILE,2015,133898.826504839
CHILE,2017,157914.354550626
COLOMBIA,2006,6917.48359375434
COLOMBIA,2007,18810.1343705015
COLOMBIA,2008,32847.2647666999
COLOMBIA,2009,28111.9254861199
COLOMBIA,2010,50379.0152694126
COLOMBIA,2011,69637.6382137196
COLOMBIA,2012,82747.1099838499
COLOMBIA,2013,81332.3371375274
COLOMBIA,2014,75035.37131517
COLOMBIA,2015,29591.4486922827
COLOMBIA,2016,18578.8286937399
COLOMBIA,2017,22691.6837066027
COLOMBIA,2018,30589.6606072799
COLOMBIA,2019,19106.5589863686
ECUADOR,2006,-39446.4926329972
ECUADOR,2007,-24370.0523727242
ECUADOR,2008,-8438.23579269793
ECUADOR,2009,-11900.837721495
ECUADOR,2010,-4236.16256126614
ECUADOR,2011,8512.15628914747
ECUADOR,2012,14372.0837500306
ECUADOR,2013,20114.7071916306
ECUADOR,2014,24977.800036708
ECUADOR,2015,6294.32257021716
ECUADOR,2016,5233.90981160331
ECUADOR,2017,10794.4349670013
ECUADOR,2018,3692.24154123215
ECUADOR,2019,137.451608643133
PARAGUAY,2006,-30753.0085687791
PARAGUAY,2007,-15384.3230511417
PARAGUAY,2008,4827.93644781483
PARAGUAY,2009,4293.07632962908
PARAGUAY,2010,2300.36726578878
PARAGUAY,2011,14821.049209867
PARAGUAY,2012,22990.8226910424
PARAGUAY,2013,27499.2273855875
PARAGUAY,2014,33453.545199466
PARAGUAY,2015,8848.88303157715
PARAGUAY,2016,10973.4053636839
PARAGUAY,2017,7378.87783818317
PARAGUAY,2018,15580.8264140926
PARAGUAY,2019,-111.808308892386
PERU,2006,-37810.2906126874
PERU,2007,-34448.6852503342
PERU,2008,-20500.716906085
PERU,2009,-21662.5639621605
PERU,2010,-18640.8628614755
PERU,2011,-1311.7889129548
PERU,2012,8566.93659749185
PERU,2013,12130.5447183061
PERU,2014,10064.5288616494
PERU,2015,1794.95484965446
PERU,2016,-2754.96485921145
PERU,2017,7935.70141151941
PERU,2018,1028.12051540052
PERU,2019,9469.74697626252
SURINAME,2012,59479.1066668683
SURINAME,2013,36142.0069500591
SURINAME,2018,32281.0941670933
URUGUAY,2006,25317.1483285579
URUGUAY,2008,92999.0311151898
URUGUAY,2009,103348.213507358
URUGUAY,2010,166838.990041416
URUGUAY,2011,221356.346068965
URUGUAY,2012,244752.734143532
URUGUAY,2013,290659.377202061
URUGUAY,2014,287996.517184646
URUGUAY,2015,259343.848895644
URUGUAY,2016,255925.303299152
URUGUAY,2017,301704.361587195
URUGUAY,2018,301072.581691605
URUGUAY,2019,278091.141633457
VENEZUELA,2006,25364.4896249158
VENEZUELA,2007,42278.8218794753
VENEZUELA,2008,74348.3616554891
VENEZUELA,2009,137757.49305575
VENEZUELA,2010,127391.469060225
VENEZUELA,2011,168756.460399885
VENEZUELA,2012,101926.595466993
VENEZUELA,2013,143204.249943445
VENEZUELA,2014,127713.173942333
VENEZUELA,2015,207024.008440988
VENEZUELA,2016,NaN
