Country,Count,MAE,RMSE,MedianAE
ARGENTINA,5,2001.2000,2129.4289,2128.0000
BOLIVIA,5,59.0000,72.1235,48.0000
BRAZIL,5,57145.6000,68111.5967,40964.0000
CHILE,5,70317.4000,82211.8617,50816.0000
COLOMBIA,5,353055.4000,411604.6441,478013.0000
ECUADOR,5,23221.0000,30315.6280,16278.0000
GUYANA,5,10209.2000,17476.2324,14.0000
PARAGUAY,5,327.2000,359.3177,370.0000
PERU,5,81066.8000,108014.1779,57461.0000
SURINAME,5,246.4000,495.5264,35.0000
URUGUAY,5,601.8000,856.5135,356.0000
VENEZUELA,5,453341.4000,671972.2762,217391.0000
